contestant,sport,record,matchup,away_team,home_team,pick_type,pick_text,team,line,units_wagered
jlayne89,NBA,96-73-1,Sacramento @ Indiana,Sacramento,Indiana,Total (Under),Under 235.0,Under,235.0,+500
jlayne89,NBA,96-73-1,Phoenix @ Minnesota,Phoenix,Minnesota,Spread (ATS),PHO +9.5,PHO,+9.5,+500
jlayne89,NBA,96-73-1,Phoenix @ Minnesota,Phoenix,Minnesota,Total (Under),Under 224.5,Under,224.5,+500
jlayne89,NBA,96-73-1,San Antonio @ New Orleans,San Antonio,New Orleans,Total (Over),Over 236.5,Over,236.5,+500
northlv6238,NBA,190-159-4,Sacramento @ Indiana,Sacramento,Indiana,Spread (ATS),IND -3.5,IND,-3.5,+500
northlv6238,NBA,190-159-4,Sacramento @ Indiana,Sacramento,Indiana,Total (Over),Over 234.0,Over,234.0,+500
northlv6238,NBA,190-159-4,Phoenix @ Minnesota,Phoenix,Minnesota,Spread (ATS),MIN -9.5,MIN,-9.5,+500
northlv6238,NBA,190-159-4,Phoenix @ Minnesota,Phoenix,Minnesota,Total (Under),Under 227.0,Under,227.0,+500
northlv6238,NBA,190-159-4,San Antonio @ New Orleans,San Antonio,New Orleans,Spread (ATS),SA -9.5,SA,-9.5,+500
northlv6238,NBA,190-159-4,San Antonio @ New Orleans,San Antonio,New Orleans,Total (Under),Under 236.5,Under,236.5,+500
decep96,NBA,181-151-8,Sacramento @ Indiana,Sacramento,Indiana,Spread (ATS),SAC +4.0,SAC,+4.0,+500
decep96,NBA,181-151-8,Phoenix @ Minnesota,Phoenix,Minnesota,Spread (ATS),PHO +10.0,PHO,+10.0,+500
decep96,NBA,181-151-8,San Antonio @ New Orleans,San Antonio,New Orleans,Spread (ATS),NO +9.5,NO,+9.5,+500
skunty4,NHL,272-261-4,Tampa Bay @ Toronto,Tampa Bay,Toronto,Spread (ATS),TOR +110,TOR,+110,+500
skunty4,NHL,272-261-4,Buffalo @ Calgary,Buffalo,Calgary,Spread (ATS),BUF +100,BUF,+100,+500
skunty4,NHL,272-261-4,Los Angeles @ Utah,Los Angeles,Utah,Spread (ATS),LA +100,LA,+100,+500
skunty4,NHL,272-261-4,Detroit @ Vancouver,Detroit,Vancouver,Spread (ATS),VAN +105,VAN,+105,+500
habsfanbronco,NHL,479-395-22,Tampa Bay @ Toronto,Tampa Bay,Toronto,Spread (ATS),TOR -120,TOR,-120,+500
habsfanbronco,NHL,479-395-22,Tampa Bay @ Toronto,Tampa Bay,Toronto,Total (Over),Over 6.0,Over,6.0,+500
habsfanbronco,NHL,479-395-22,Buffalo @ Calgary,Buffalo,Calgary,Spread (ATS),CAL -120,CAL,-120,+500
habsfanbronco,NHL,479-395-22,Buffalo @ Calgary,Buffalo,Calgary,Total (Over),Over 6.0,Over,6.0,+500
habsfanbronco,NHL,479-395-22,Los Angeles @ Utah,Los Angeles,Utah,Spread (ATS),LA -105,LA,-105,+500
habsfanbronco,NHL,479-395-22,Los Angeles @ Utah,Los Angeles,Utah,Total (Over),Over 5.5,Over,5.5,+500
habsfanbronco,NHL,479-395-22,Minnesota @ Seattle,Minnesota,Seattle,Total (Over),Over 5.5,Over,5.5,+500
habsfanbronco,NHL,479-395-22,Detroit @ Vancouver,Detroit,Vancouver,Spread (ATS),DET -125,DET,-125,+500
habsfanbronco,NHL,479-395-22,Detroit @ Vancouver,Detroit,Vancouver,Total (Over),Over 6.0,Over,6.0,+500
Espo77Orr4,NHL,223-173-8,Tampa Bay @ Toronto,Tampa Bay,Toronto,Spread (ATS),TB -110,TB,-110,+500
Espo77Orr4,NHL,223-173-8,Buffalo @ Calgary,Buffalo,Calgary,Spread (ATS),CAL -120,CAL,-120,+500
Espo77Orr4,NHL,223-173-8,Buffalo @ Calgary,Buffalo,Calgary,Total (Under),Under 6.0,Under,6.0,+500
Espo77Orr4,NHL,223-173-8,Los Angeles @ Utah,Los Angeles,Utah,Spread (ATS),LA -105,LA,-105,+500
Espo77Orr4,NHL,223-173-8,Los Angeles @ Utah,Los Angeles,Utah,Total (Over),Over 5.5,Over,5.5,+500
Espo77Orr4,NHL,223-173-8,Detroit @ Vancouver,Detroit,Vancouver,Spread (ATS),DET -125,DET,-125,+500
pgese,NHL,324-262-8,Tampa Bay @ Toronto,Tampa Bay,Toronto,Spread (ATS),TB -135,TB,-135,+500
pgese,NHL,324-262-8,Tampa Bay @ Toronto,Tampa Bay,Toronto,Total (Under),Under 6.5,Under,6.5,+500
pgese,NHL,324-262-8,Buffalo @ Calgary,Buffalo,Calgary,Spread (ATS),BUF +100,BUF,+100,+500
pgese,NHL,324-262-8,Buffalo @ Calgary,Buffalo,Calgary,Total (Under),Under 6.0,Under,6.0,+500
pgese,NHL,324-262-8,Los Angeles @ Utah,Los Angeles,Utah,Spread (ATS),LA +100,LA,+100,+500
pgese,NHL,324-262-8,Los Angeles @ Utah,Los Angeles,Utah,Total (Over),Over 5.5,Over,5.5,+500
pgese,NHL,324-262-8,Minnesota @ Seattle,Minnesota,Seattle,Total (Over),Over 5.5,Over,5.5,+500
pgese,NHL,324-262-8,Detroit @ Vancouver,Detroit,Vancouver,Spread (ATS),DET -125,DET,-125,+500
